26-02-26 15:51:52: {'temps': [0.005, 0.498], 'freqs': [20.0, 20.0], 'analog': {'values': [3.477, 3.55, 0.005, 0.498], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 16:06:52: {'temps': [0.005, 0.483], 'freqs': [20.0, 20.0], 'analog': {'values': [3.467, 3.496, 0.005, 0.483], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 16:21:53: {'temps': [0.0, 0.488], 'freqs': [20.0, 20.0], 'analog': {'values': [3.452, 3.486, 0.0, 0.488], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 16:36:54: {'temps': [0.005, 0.493], 'freqs': [20.0, 20.0], 'analog': {'values': [3.447, 3.511, 0.005, 0.493], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 16:51:55: {'temps': [0.005, 0.493], 'freqs': [20.0, 20.0], 'analog': {'values': [3.433, 3.496, 0.005, 0.493], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 17:06:56: {'temps': [0.005, 0.488], 'freqs': [20.0, 20.0], 'analog': {'values': [3.506, 3.472, 0.005, 0.488], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 17:21:57: {'temps': [0.005, 0.483], 'freqs': [20.0, 20.0], 'analog': {'values': [3.472, 3.477, 0.005, 0.483], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 17:25:59: {'temps': [0.005, 0.449], 'freqs': [0.0, 0.0], 'analog': {'values': [1.138, 1.128, 0.005, 0.449], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 17:33:17: {'temps': [1.045, 0.459], 'freqs': [0.0, 20.0], 'analog': {'values': [0.249, 1.123, 1.045, 0.459], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 17:33:43: {'temps': [1.055, 0.459], 'freqs': [0.0, 20.0], 'analog': {'values': [0.283, 1.128, 1.055, 0.459], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
27-02-26 12:21:51: {'temps': [0.0, 0.762], 'freqs': [0.0, 0.0], 'analog': {'values': [1.245, 1.235, 0.0, 0.762], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 27 град.
27-02-26 12:36:51: {'temps': [0.01, 0.747], 'freqs': [20.0, 20.0], 'analog': {'values': [3.594, 3.535, 0.01, 0.747], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 32 град.
27-02-26 12:51:52: {'temps': [0.01, 0.659], 'freqs': [20.0, 20.0], 'analog': {'values': [3.594, 3.55, 0.01, 0.659], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)} 37 град.
