04-03-26 16:02:54: {'temps': [75.03895127124976, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.505, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [71.31913626939479, 0.04453546795428264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.471, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [79.42233590759014, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.544, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [82.76249686431639, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.573, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [71.86023251239293, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.476, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [78.85340480289034, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.539, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [68.11553911256257, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.441, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [78.28652037919798, 0.041159317524899264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.534, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [79.42233590759014, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.544, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [77.72168263651314, 0.04453546795428264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.529, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [77.72168263651314, 0.041159317524899264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.529, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [98.97345763293238, 0.040686760705917584], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.11, 1.226, 0.005, 0.571], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [149.45308912365954, 0.040686760705917584], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.062, 1.226, 0.0, 0.571], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [154.8179444520809, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.096, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [60.528459828460434, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.105, 1.226, 0.029, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [150.86398782253158, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.071, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [144.02929862529862, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.027, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [147.8932012905191, 0.04098910433542636], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.052, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [93.69099914507844, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.057, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [148.67212186658557, 0.041159317524899264], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.057, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [159.46863619151196, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.125, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [154.02305976415607, 0.04098910433542636], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.091, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [157.8571719969832, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.115, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [147.1163273954601, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.047, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [146.34150018140843, 0.036817297259508185], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.042, 1.221, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [150.07933653964412, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.066, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [147.1163273954601, 0.04098910433542636], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.047, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [157.05450992122994, 0.0366960294826168], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.11, 1.221, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [155.6148758210131, 0.04098910433542636], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.101, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [151.65068578642646, 0.036817297259508185], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.076, 1.221, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [154.02305976415607, 0.04098910433542636], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.091, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [97.06308203252475, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.091, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [92.22227540876571, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.042, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [155.6148758210131, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.101, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [152.43943043132887, 0.04085409557787171], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.081, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [147.8932012905191, 0.04098910433542636], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.052, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [159.46863619151196, 0.044388778284110315], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.125, 1.23, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [150.07933653964412, 0.04098910433542636], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.066, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [137.73440039880046, 0.04085409557787171], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.462, 1.226, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [134.299398301325, 0.0366960294826168], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.433, 1.221, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
